Stock,Report Date,Rate,Adjusted Float,Lender Count,Borrow Status,Last Report Date,Last Rate,Change in Rate,Firm Long,Firm Short,Intrafirm?,Close Price,IsFilterMatch
AMDY,45831,4.08,14265,4,GC,45828,3.2534,0.8266,38696,0,TRUE,8,TRUE
NOVAQ,45831,-4.7696,994673,11,HTB,45828,-5.5953,0.8257,785469,-57161,TRUE,0.0039,TRUE
ILLMF,45831,-9.9019,60990,10,HTB,45828,-10.7237,0.8218,4,0,FALSE,1.39,TRUE
VG,45831,-17.9995,252288,17,HTB,45828,-18.808,0.8085,285872,-163079,TRUE,19.01,TRUE
UCYB,45831,-2.1818,49,2,HTB,45828,-2.9893,0.8075,0,0,FALSE,56.52,TRUE
ATER,45831,-1.0493,289506,10,HTB,45828,-1.8556,0.8063,755,-2025,FALSE,1.38,TRUE
PROP,45831,-8.0458,172888,21,HTB,45828,-8.8498,0.804,653,-6405,TRUE,3.97,TRUE
SCHF,45831,2.7004,206629,5,HTB,45828,1.9142,0.7862,0,-432,FALSE,21.49,TRUE
AAAU,45831,4.08,116101,12,GC,45828,3.3071,0.7729,1664,0,FALSE,33.25,TRUE
ASIX,45831,3.0914,8105962,32,HTB,45828,2.3242,0.7672,0,0,FALSE,23.42,TRUE
FCUV,45831,-16.6346,46603,9,HTB,45828,-17.3968,0.7622,205,-111,TRUE,3.84,TRUE
ETOR,45831,-0.2664,1393895,22,HTB,45828,-1.021,0.7546,21148,-5460,TRUE,59.5,TRUE
ADUR,45831,-4.433,73510,7,HTB,45828,-5.1719,0.7389,466,0,FALSE,10.57,TRUE
BKKT,45831,-13.4327,55918,11,HTB,45828,-14.1589,0.7262,17831,-531,TRUE,13.48,TRUE
TRVG,45831,-0.2867,272377,16,HTB,45828,-1.0112,0.7245,8289,-139851,TRUE,3.88,TRUE
VFS,45831,-23.7835,18812,8,HTB,45828,-24.4965,0.713,215256,-243097,TRUE,3.38,TRUE
OTRK,45831,-23.949,32698,13,HTB,45828,-24.6316,0.6826,22,0,FALSE,1.38,TRUE
NNVC,45831,-4.878,200873,10,HTB,45828,-5.5542,0.6762,5954,-168,FALSE,1.43,TRUE
GME,45831,2.3217,28589749,25,HTB,45828,1.653,0.6687,371683,-29563,TRUE,23.46,TRUE
IWMY,45831,2.5827,23872,6,HTB,45828,1.9164,0.6663,0,-100,FALSE,23.98,TRUE
SPXU,45831,2.8807,46341,4,HTB,45828,2.2244,0.6563,1612,-71213,TRUE,19.06,TRUE
ULTY,45831,0.1206,307265,5,HTB,45828,-0.5311,0.6517,256058,-200,TRUE,6.2,TRUE
TROO,45831,0.7042,1505667,8,HTB,45828,0.0774,0.6268,0,0,FALSE,0.83,TRUE
SYPR,45831,-9.6377,134767,15,HTB,45828,-10.259,0.6213,5484,0,FALSE,1.96,TRUE
ACWI,45831,4.08,3535887,20,GC,45828,3.4677,0.6123,0,-400,FALSE,123.74,TRUE
VXRT,45831,-17.5794,1248441,11,HTB,45828,-18.1897,0.6103,72845,-31802,TRUE,0.58,TRUE
TSLG,45831,-10.2864,22883,5,HTB,45828,-10.8871,0.6007,1100,0,FALSE,6.12,TRUE
FRSX,45831,-12.0854,347680,7,HTB,45828,-12.6551,0.5697,8,-109,TRUE,0.4829,TRUE
ATNF,45831,-18.7631,89197,11,HTB,45828,-19.3317,0.5686,2,0,FALSE,0.8642,TRUE
IBO,45831,-44.9881,633068,11,HTB,45828,-45.5556,0.5675,1,0,FALSE,0.3621,TRUE
GMEU,45831,-19.302,36865,5,HTB,45828,-19.8687,0.5667,0,0,FALSE,15.1,TRUE
APRE,45831,-0.1383,193658,16,HTB,45828,-0.6989,0.5606,577,0,FALSE,1.635,TRUE
EXPI,45831,4.08,12282292,25,GC,45828,3.5329,0.5471,10601,-1978,TRUE,9,TRUE
FAN,45831,-4.9614,20192,4,HTB,45828,-5.5056,0.5442,0,0,FALSE,17.79,TRUE
BYND,45831,-48.992,154422,17,HTB,45828,-49.531,0.539,38137,-723729,TRUE,3.43,TRUE
PONY,45831,-1.56,1109494,16,HTB,45828,-2.099,0.539,181375,-5989,TRUE,11.83,TRUE
ACDC,45831,-19.347,188165,18,HTB,45828,-19.886,0.539,5386,-14871,TRUE,9.37,TRUE
IBKR,45831,4.08,64541823,35,GC,45828,3.5422,0.5378,60,-143467,TRUE,51.34,TRUE
CBAT,45831,4.08,2511498,16,GC,45828,3.5453,0.5347,26342,0,FALSE,1.15,TRUE
NUKZ,45831,1.335,27189,8,HTB,45828,0.8071,0.5279,0,0,FALSE,53.99,TRUE
XYZY,45831,-0.3393,16961,3,HTB,45828,-0.866,0.5267,0,-859,FALSE,9.63,TRUE
GPRO,45831,4.08,10764278,16,GC,45828,3.555,0.525,318865,-10575,TRUE,0.9078,TRUE
SMIN,45831,-6.3208,369884,18,HTB,45828,-6.8454,0.5246,0,-850,FALSE,73.25,TRUE
VVOS,45831,-7.3345,9325,8,HTB,45828,-7.8533,0.5188,4,-4,TRUE,2.8,TRUE
NECB,45831,-1.5674,1750659,29,HTB,45828,-2.0809,0.5135,200,0,FALSE,22.6,TRUE
HYMC,45831,-3.6553,582993,18,HTB,45828,-4.1496,0.4943,51579,-3795,TRUE,3.35,TRUE
AMTX,45831,-22.1763,12884,13,HTB,45828,-22.6698,0.4935,117739,-46938,TRUE,2.17,TRUE
GEOS,45831,3.2734,1450026,17,HTB,45828,2.7808,0.4926,0,-800,FALSE,11.49,TRUE
EPP,45831,2.6845,6942,8,HTB,45828,2.1949,0.4896,0,0,FALSE,47.83,TRUE
MSTU,45831,-9.3216,127749,6,HTB,45828,-9.8067,0.4851,843150,-253142,TRUE,7.34,TRUE
EWD,45831,-22.2579,316767,8,HTB,45828,-22.7358,0.4779,0,0,FALSE,43.81,TRUE
WIMI,45831,-20.4344,294961,8,HTB,45828,-20.9093,0.4749,12851,-18972,TRUE,2.5,TRUE
KPLT,45831,-7.5468,42306,13,HTB,45828,-8.0114,0.4646,25,0,FALSE,8.2,TRUE
PVLA,45831,-13.3855,5511,11,HTB,45828,-13.8466,0.4611,132,0,FALSE,22.05,TRUE
JNK,45831,3.343,424596,15,HTB,45828,2.8828,0.4602,3861,0,FALSE,96.23,TRUE
SEPN,45831,-3.0634,927991,21,HTB,45828,-3.5231,0.4597,789,0,FALSE,10.47,TRUE
UVXY,45831,-0.7936,157555,8,HTB,45828,-1.2516,0.458,388081,-271464,TRUE,22.1,TRUE
AMZD,45831,-23.51,24,4,HTB,45828,-23.9676,0.4576,0,0,FALSE,11.51,TRUE
ASPS,45831,2.4514,12370,6,HTB,45828,1.9981,0.4533,9,0,FALSE,10.8,TRUE
GGR,45831,-12.6933,241548,5,HTB,45828,-13.1439,0.4506,0,0,FALSE,0.2469,TRUE
XELA,45831,-7.8479,236608,7,HTB,45828,-8.2964,0.4485,178771,-33732,TRUE,0.0111,TRUE
DFVX,45831,-27.8637,1,2,HTB,45828,-28.3115,0.4478,0,0,FALSE,67.02,TRUE
AIYY,45831,1.1467,76867,4,HTB,45828,0.7014,0.4453,1000,0,FALSE,4.15,TRUE
PLG,45831,-1.7078,1247775,8,HTB,45828,-2.1397,0.4319,21105,0,TRUE,1.38,TRUE
ABNY,45831,-5.9145,300,3,HTB,45828,-6.3388,0.4243,0,0,FALSE,11.86,TRUE
ISPY,45831,2.3643,46951,8,HTB,45828,1.9461,0.4182,0,0,FALSE,40.73,TRUE
HIMZ,45831,-8.3377,22637,6,HTB,45828,-8.7545,0.4168,5903,-100,TRUE,50.64,TRUE
RVPH,45831,-10.8588,531517,11,HTB,45828,-11.2751,0.4163,3577,-71694,TRUE,0.7018,TRUE
MAXN,45831,-26.703,350902,8,HTB,45828,-27.1166,0.4136,23978,-22265,TRUE,2.87,TRUE
AAPB,45831,-7.0188,4634,6,HTB,45828,-7.4319,0.4131,100,0,FALSE,19.39,TRUE
CDLX,45831,3.0575,753997,17,HTB,45828,2.6452,0.4123,89439,-2822,FALSE,1.74,TRUE
BOIL,45831,-5.7527,6021,7,HTB,45828,-6.1638,0.4111,42012,-19747,TRUE,60.55,TRUE
IVOL,45831,0.4237,4764,3,HTB,45828,0.0168,0.4069,0,0,FALSE,19.25,TRUE
INFL,45831,0.6191,22410,4,HTB,45828,0.2125,0.4066,100,0,FALSE,42.11,TRUE
EWI,45831,-1.3062,448634,12,HTB,45828,-1.7113,0.4051,104,-12536,TRUE,46.36,TRUE
QDIV,45831,-8.9989,5437,5,HTB,45828,-9.3994,0.4005,0,0,FALSE,33.5126,TRUE
CLSD,45831,1.4186,4297977,16,HTB,45828,1.0191,0.3995,36,-1136,FALSE,0.8398,TRUE
FDD,45831,-3.1881,29294,4,HTB,45828,-3.5848,0.3967,0,0,FALSE,15.28,TRUE
IAT,45831,2.1246,1990753,12,HTB,45828,1.7333,0.3913,1,-634,TRUE,46.97,TRUE
RCEL,45831,3.4976,338666,19,HTB,45828,3.1127,0.3849,0,-1848,FALSE,5.17,TRUE
ENLV,45831,-6.486,271048,12,HTB,45828,-6.8683,0.3823,7000,0,FALSE,1.09,TRUE
SIVR,45831,2.8483,56333,10,HTB,45828,2.4684,0.3799,17769,-9314,TRUE,34.34,TRUE
NVTS,45831,-0.3742,7141412,26,HTB,45828,-0.7515,0.3773,87571,-514717,TRUE,7.01,TRUE
EUAD,45831,1.233,94531,12,HTB,45828,0.861,0.372,0,-600,FALSE,40.56,TRUE
NNOX,45831,-15.6199,160689,14,HTB,45828,-15.9895,0.3696,204564,-43629,TRUE,4.99,TRUE
VERU,45831,-1.2583,44546,13,HTB,45828,-1.6224,0.3641,218026,-99534,TRUE,0.6231,TRUE
CIA,45831,-8.1242,14018,8,HTB,45828,-8.4864,0.3622,8988,-310119,FALSE,3.63,TRUE
QDTE,45831,3.5422,103788,9,HTB,45828,3.1827,0.3595,18769,0,FALSE,34.03,TRUE
USAU,45831,0.9828,455648,18,HTB,45828,0.6262,0.3566,7567,-4112,TRUE,12.21,TRUE
FAZ,45831,-1.4235,650,5,HTB,45828,-1.7777,0.3542,227194,-1200,TRUE,5.03,TRUE
