Stock,Report Date,Rate,Adjusted Float,Lender Count,Borrow Status,Last Report Date,Last Rate,Change in Rate,Firm Long,Firm Short,Intrafirm?,Close Price,IsFilterMatch
SLGL,45828,-7.0004,33876,8,HTB,45826,-6.9325,-0.0679,0,0,FALSE,7.1385,TRUE
EWZS,45828,-8.6123,59192,8,HTB,45826,-13.1475,4.5352,0,0,FALSE,13.11,TRUE
HTO,45828,4.08,8010923,35,GC,45826,4.08,0,0,0,FALSE,52.81,TRUE
CWT,45828,4.08,18528961,35,GC,45826,4.08,0,0,0,FALSE,46.08,TRUE
BBSI,45828,4.08,4497228,26,GC,45826,4.08,0,0,0,FALSE,41.41,TRUE
TTSH,45828,4.08,4172743,23,GC,45826,4.08,0,0,0,FALSE,6.19,TRUE
RSVR,45828,4.08,3217491,23,GC,45826,4.08,0,0,0,FALSE,7.47,TRUE
LLYVK,45828,4.08,10259338,35,GC,45826,4.08,0,0,0,FALSE,79.3,TRUE
PIN,45828,4.08,15386,6,GC,45826,4.08,0,0,0,FALSE,26.19,TRUE
XLSR,45828,2.0711,10450,1,HTB,45826,2.2398,-0.1687,0,0,FALSE,53.16,TRUE
GPTY,45828,-3.1497,30,1,HTB,45826,-2.1044,-1.0453,0,0,FALSE,46.8966,TRUE
INTW,45828,-10.1425,78324,7,HTB,45826,-10.7357,0.5932,0,0,FALSE,18.34,TRUE
FLGR,45828,-14.1081,2050,6,HTB,45826,-15.7583,1.6502,0,0,FALSE,32.3639,TRUE
SNOU,45828,-11.14,91,4,HTB,45826,-11.9646,0.8246,0,0,FALSE,49.3808,TRUE
FLTR,45828,4.08,285898,12,GC,45826,4.08,0,0,0,FALSE,25.45,TRUE
SETH,45828,-39.0296,4386,5,HTB,45826,-43.2,4.1704,0,0,FALSE,15.68,TRUE
MNRS,45828,-55.1698,119963,3,HTB,45826,-55.1697,-0.0001,0,0,FALSE,22.1763,TRUE
FLJP,45828,2.8656,1641759,10,HTB,45826,3.108,-0.2424,0,0,FALSE,31.62,TRUE
AIRJ,45828,-2.2799,498179,12,HTB,45826,-2.2526,-0.0273,0,0,FALSE,4.35,TRUE
VIVS,45828,-109.3416,53552,18,HTB,45826,-108.6161,-0.7255,0,0,FALSE,1.4101,TRUE
MRAL,45828,-77.979,16272,5,HTB,45826,-77.979,0,0,0,FALSE,17.2,TRUE
PFXF,45828,1.1899,69193,10,HTB,45826,1.2836,-0.0937,0,0,FALSE,16.82,TRUE
ENZB,45828,3.0166,123025,9,HTB,45826,3.0165,1E-04,0,0,FALSE,0.5399,TRUE
RNAC,45828,-4.4161,122236,19,HTB,45826,-4.6897,0.2736,0,0,FALSE,10,TRUE
ESML,45828,3.0095,79710,8,HTB,45826,2.9989,0.0106,0,0,FALSE,40.18,TRUE
ELTX,45828,2.6402,296770,11,HTB,45826,2.6388,0.0014,0,0,FALSE,7.96,TRUE
DLLL,45828,0.5128,11270,6,HTB,45826,-6.9417,7.4545,0,0,FALSE,22.25,TRUE
BTFX,45828,-3.7176,6989,6,HTB,45826,-3.1713,-0.5463,0,0,FALSE,49.55,TRUE
GMET,45828,0.5128,2390,4,HTB,45826,0.5128,0,0,0,FALSE,22.7646,TRUE
SPMB,45828,4.08,4934596,8,GC,45826,4.08,0,0,0,FALSE,21.84,TRUE
SCHK,45828,4.08,21485188,7,GC,45826,4.08,0,0,0,FALSE,28.83,TRUE
FLIN,45828,2.9285,2155768,15,HTB,45826,2.9285,0,0,0,FALSE,38.54,TRUE
BMAX,45828,-7.4961,11801,7,HTB,45826,0.5128,-8.0089,0,0,FALSE,28.805,TRUE
SMCF,45828,-13.8879,19570,2,HTB,45826,-13.8879,0,0,0,FALSE,29.6223,TRUE
LENZ,45828,3.1831,1090403,24,HTB,45826,3.1803,0.0028,0,0,FALSE,30.03,TRUE
FCFS,45828,4.08,8070867,40,GC,45826,4.08,0,0,0,FALSE,128.49,TRUE
DAX,45828,-2.4674,57489,6,HTB,45826,-0.9396,-1.5278,0,0,FALSE,43.14,TRUE
CTNM,45828,1.8161,910773,21,HTB,45826,1.8119,0.0042,0,0,FALSE,3.65,TRUE
BUCK,45828,2.422,1985,3,HTB,45826,2.3829,0.0391,0,0,FALSE,23.56,TRUE
CNS,45828,4.08,7520307,33,GC,45826,4.08,0,0,0,FALSE,74.51,TRUE
AVBP,45828,4.08,2292799,25,GC,45826,4.08,0,0,0,FALSE,24.89,TRUE
ASMG,45828,-78.5208,12959,6,HTB,45826,-78.388,-0.1328,0,0,FALSE,14.42,TRUE
GYRE,45828,-7.7342,670379,16,HTB,45826,-8.2031,0.4689,0,0,FALSE,8.33,TRUE
MBX,45828,-2.487,403975,18,HTB,45826,-2.5818,0.0948,0,0,FALSE,10.28,TRUE
TECX,45828,4.08,437773,24,GC,45826,4.08,0,0,0,FALSE,19.8,TRUE
DJIA,45828,-0.4928,4197,4,HTB,45826,-0.7296,0.2368,0,0,FALSE,21.442,TRUE
PILL,45828,0.5128,31595,4,HTB,45826,-15.2041,15.7169,0,0,FALSE,5.31,TRUE
FINX,45828,2.5591,235070,10,HTB,45826,2.5072,0.0519,0,0,FALSE,32.1,TRUE
EATZ,45828,-12.6897,17428,4,HTB,45826,-12.7157,0.026,0,0,FALSE,29.496,TRUE
